Date,Price (USD),Running Average,Type
2025-01-01,34.5685,34.5685,Historical
2025-01-02,35.5280,35.0483,Historical
2025-01-03,37.7624,35.9530,Historical
2025-01-04,37.8272,36.4215,Historical
2025-01-05,36.7916,36.4955,Historical
2025-01-06,37.1597,36.6062,Historical
2025-01-07,33.4080,36.1493,Historical
2025-01-08,32.4193,35.6831,Historical
2025-01-09,30.9561,35.1579,Historical
2025-01-10,32.1646,34.8585,Historical
2025-01-11,32.2126,34.6180,Historical
2025-01-12,31.6720,34.3725,Historical
2025-01-13,30.8225,34.0994,Historical
2025-01-14,31.7547,33.9319,Historical
2025-01-15,34.4291,33.9651,Historical
2025-01-16,33.2138,33.9181,Historical
2025-01-17,36.0914,34.0460,Historical
2025-01-18,33.8801,34.0368,Historical
2025-01-19,33.2924,33.9976,Historical
2025-01-20,34.0450,34.0000,Historical
2025-01-21,34.9895,34.0471,Historical
2025-01-22,34.0505,34.0472,Historical
2025-01-23,35.5780,34.1138,Historical
2025-01-24,34.0856,34.1126,Historical
2025-01-25,34.0399,34.1097,Historical
2025-01-26,32.8410,34.0609,Historical
2025-01-27,31.8268,33.9782,Historical
2025-01-28,30.8752,33.8673,Historical
2025-01-29,31.5361,33.7870,Historical
2025-01-30,33.0607,33.7627,Historical
2025-01-31,34.0459,33.7719,Historical
2025-02-01,31.3786,33.6971,Historical
2025-02-02,28.1211,33.5281,Historical
2025-02-03,29.1120,33.3982,Historical
2025-02-04,26.7817,33.2092,Historical
2025-02-05,27.4613,33.0495,Historical
2025-02-06,25.7634,32.8526,Historical
2025-02-07,25.1305,32.6494,Historical
2025-02-08,25.1896,32.4581,Historical
2025-02-09,24.9103,32.2694,Historical
2025-02-10,25.6990,32.1092,Historical
2025-02-11,25.2725,31.9464,Historical
2025-02-12,27.4521,31.8419,Historical
2025-02-13,26.7634,31.7264,Historical
2025-02-14,27.3725,31.6297,Historical
2025-02-15,26.5652,31.5196,Historical
2025-02-16,26.0058,31.4023,Historical
2025-02-17,27.2363,31.3155,Historical
2025-02-18,26.2462,31.2120,Historical
2025-02-19,26.6569,31.1209,Historical
2025-02-20,27.1360,31.0428,Historical
2025-02-21,26.4008,30.9535,Historical
2025-02-22,27.1942,30.8826,Historical
2025-02-23,27.6749,30.8232,Historical
2025-02-24,23.9782,30.6987,Historical
2025-02-25,23.2517,30.5658,Historical
2025-02-26,22.0851,30.4170,Historical
2025-02-27,21.9399,30.2708,Historical
2025-02-28,21.5434,30.1229,Historical
2025-03-01,21.3508,29.9767,Historical
2025-03-02,24.2075,29.8821,Historical
2025-03-03,20.3636,29.7286,Historical
2025-03-04,20.5645,29.5831,Historical
2025-03-05,21.2080,29.4523,Historical
2025-03-06,20.7574,29.3185,Historical
2025-03-07,20.2490,29.1811,Historical
2025-03-08,20.2853,29.0483,Historical
2025-03-09,17.6345,28.8805,Historical
2025-03-10,16.6157,28.7027,Historical
2025-03-11,16.6836,28.5310,Historical
2025-03-12,16.6240,28.3633,Historical
2025-03-13,16.3972,28.1971,Historical
2025-03-14,16.8463,28.0416,Historical
2025-03-15,17.1753,27.8948,Historical
2025-03-16,16.1254,27.7379,Historical
2025-03-17,16.5195,27.5902,Historical
2025-03-18,16.3867,27.4447,Historical
2025-03-19,17.9134,27.3225,Historical
2025-03-20,16.9833,27.1917,Historical
2025-03-21,16.4573,27.0575,Historical
2025-03-22,16.5785,26.9281,Historical
2025-03-23,16.9939,26.8070,Historical
2025-03-24,17.6300,26.6964,Historical
2025-03-25,17.9552,26.5923,Historical
2025-03-26,17.5580,26.4861,Historical
2025-03-27,17.8936,26.3861,Historical
2025-03-28,16.6474,26.2742,Historical
2025-03-29,15.7430,26.1545,Historical
2025-03-30,15.7268,26.0374,Historical
2025-03-31,15.8321,25.9240,Historical
2025-04-01,16.3571,25.8188,Historical
2025-04-02,15.0551,25.7018,Historical
2025-04-03,15.0694,25.5875,Historical
2025-04-04,15.1519,25.4765,Historical
2025-04-05,15.0539,25.3668,Historical
2025-04-06,13.1681,25.2397,Historical
2025-04-07,13.2672,25.1163,Historical
2025-04-08,12.5532,24.9881,Historical
2025-04-09,14.5038,24.8822,Historical
2025-04-10,13.5651,24.7690,Historical
2025-04-11,14.2457,24.6648,Historical
2025-04-12,14.8722,24.5688,Historical
2025-04-13,14.1777,24.4679,Historical
2025-04-14,14.5644,24.3727,Historical
2025-04-15,13.9046,24.2730,Historical
2025-04-16,13.6694,24.1730,Historical
2025-04-17,13.8758,24.0768,Historical
2025-04-18,14.0391,23.9838,Historical
2025-04-19,14.5498,23.8973,Historical
2025-04-20,14.3949,23.8109,Historical
2025-04-21,14.6818,23.7286,Historical
2025-04-22,16.2920,23.6622,Historical
2025-04-23,17.0679,23.6039,Historical
2025-04-24,17.4151,23.5496,Historical
2025-04-25,18.4205,23.5050,Historical
2025-04-26,18.2433,23.4596,Historical
2025-04-27,18.2586,23.4152,Historical
2025-04-28,18.2506,23.3714,Historical
2025-04-29,18.2005,23.3280,Historical
2025-04-30,18.5280,23.2880,Historical
2025-05-01,18.6642,23.2497,Historical
2025-05-02,18.6491,23.2120,Historical
2025-05-03,18.9070,23.1770,Historical
2025-05-04,17.8076,23.1337,Historical
2025-05-05,17.7348,23.0905,Historical
2025-05-06,17.7304,23.0480,Historical
2025-05-07,18.0415,23.0086,Historical
2025-05-08,21.5737,22.9974,Historical
2025-05-09,22.5211,22.9937,Historical
2025-05-10,24.2214,23.0031,Historical
2025-05-11,23.3610,23.0059,Historical
2025-05-12,22.9113,23.0051,Historical
2025-05-13,24.6426,23.0174,Historical
2025-05-14,23.4964,23.0210,Historical
2025-05-15,22.5613,23.0176,Historical
2025-05-16,22.3978,23.0131,Historical
2025-05-17,21.4537,23.0017,Historical
2025-05-18,22.1665,22.9956,Historical
2025-05-19,22.1866,22.9898,Historical
2025-05-20,22.2137,22.9843,Historical
2025-05-21,23.0810,22.9849,Historical
2025-05-22,23.8288,22.9909,Historical
2025-05-23,22.0970,22.9846,Historical
2025-05-24,22.0988,22.9785,Historical
2025-05-25,22.2181,22.9732,Historical
2025-05-26,21.9575,22.9663,Historical
2025-05-27,22.8615,22.9656,Historical
2025-05-28,23.4643,22.9689,Historical
2025-05-29,23.0495,22.9695,Historical
2025-05-30,21.0164,22.9565,Historical
2025-05-31,20.8252,22.9423,Historical
2025-06-01,21.0802,22.9301,Historical
2025-06-02,21.6544,22.9218,Historical
2025-06-03,21.5868,22.9131,Historical
2025-06-04,21.5685,22.9044,Historical
2025-06-05,19.8698,22.8850,Historical
2025-06-06,20.1599,22.8676,Historical
2025-06-07,20.8869,22.8551,Historical
2025-06-08,20.7236,22.8417,Historical
2025-06-09,21.9737,22.8362,Historical
2025-06-10,23.7102,22.8417,Historical
2025-06-11,22.6058,22.8402,Historical
2025-06-12,21.1786,22.8300,Historical
2025-06-13,20.4305,22.8154,Historical
2025-06-14,20.2233,22.7997,Historical
2025-06-15,20.4461,22.7855,Historical
2025-06-16,20.5556,22.7721,Historical
2025-06-17,19.9120,22.7551,Historical
2025-06-18,19.9165,22.7383,Historical
2025-06-19,19.7951,22.7210,Historical
2025-06-20,18.7026,22.6975,Historical
2025-06-21,17.3957,22.6667,Historical
2025-06-22,17.0132,22.6340,Historical
2025-06-23,18.8237,22.6121,Historical
2025-06-24,18.9457,22.5912,Historical
2025-06-25,18.5062,22.5680,Historical
2025-06-26,18.2564,22.5436,Historical
2025-06-27,18.5028,22.5209,Historical
2025-06-28,18.6421,22.4992,Historical
2025-06-29,19.3524,22.4817,Historical
2025-06-30,18.8475,22.4617,Historical